date,kaf,,kaf
5/31/78,905.6252549,,88.939903
6/30/78,230.3535,,73.234016
7/31/78,322.1315,,1033.963623
8/31/78,620.1741274,,824.880432
9/30/78,32.47801549,,739.116455
10/31/78,206.8618806,,238.738327
11/30/78,149.1040529,,415.890214
12/31/78,144.0250639,,255.465624
1/31/79,198.676587,,235.850375
2/28/79,140.4955237,,68.9284437
3/31/79,139.9716414,,139.9719039
4/30/79,734.12341,,261.313608
5/31/79,263.2796275,,293.663361
6/30/79,655.4815,,1133.106201
7/31/79,694.8695,,1099.210815
8/31/79,649.7145683,,905.62146
9/30/79,464.6348598,,256.456635
10/31/79,276.5680217,,442.695953
11/30/79,376.2305595,,304.222886
12/31/79,34.169438,,350.77829
1/31/80,272.3037413,,272.304108
2/29/80,175.1117404,,175.258636
3/31/80,131.8716414,,131.871994
4/30/80,319.4617881,,258.6873951
5/31/80,163.5592172,,381.735049
6/30/80,544.318426,,552.225725
7/31/80,350.3585,,806.193979
8/31/80,567.5825,,802.542542
9/30/80,392.7033288,,183.203506
10/31/80,468.1217432,,210.627777
11/30/80,51.6221149,,447.176255
12/31/80,179.6750509,,370.947405
1/31/81,1176.027055,,1099.49457
2/28/81,498.5985237,,362.242357
3/31/81,565.7616108,,299.376719
4/30/81,209.5681551,,682.284058
5/31/81,273.5925,,753.633118
6/30/81,1024.85063,,1076.050903
7/31/81,721.3949904,,1033.505005
8/31/81,715.8155,,932.987793
9/30/81,588.4788598,,555.657104
10/31/81,551.7342183,,549.14801
11/30/81,2028.013473,,342.888169
12/31/81,124.069438,,352.551788
1/31/82,219.2942,,247.390396
2/28/82,236.95715,,236.957672
3/31/82,268.5716414,,273.166992
4/30/82,551.210119,,552.124084
5/31/82,221.4421074,,272.978241
6/30/82,172.6245,,116.225195
7/31/82,186.4256692,,806.565735
8/31/82,533.2985683,,742.483835
9/30/82,1267.65127,,1048.477051
10/31/82,267.0170217,,51.756664
11/30/82,2272.223294,,59.865311
12/31/82,232.669438,,232.6698
1/31/83,239.8037413,,239.804092
2/28/83,284.5117404,,284.657501
3/31/83,544.5105866,,548.65686
4/30/83,274.9641675,,275.680969
5/31/83,431.2556571,,482.815582
